id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
757371099319350259,The Westmoor Bungalow I Perfect for Entertainment,158439641,GH Hospitality,,Hilltop,39.95643,-83.07726,Entire home/apt,123,2,4,2022-12-01,2.67,75,358,4,2022-3061
757929489214163911,Stylish Getaway!-Columbus-3 Bedroom Masterpiece!,158439641,GH Hospitality,,Near South,39.9497,-82.98508,Entire home/apt,206,2,3,2022-12-18,1.96,75,362,3,2021-3574
757957912677569723,Spacious & Newly Remodelled Home w/ Game Room,33011209,Jason,,Near North/University,40.00969,-83.00834,Entire home/apt,115,2,2,2022-12-26,2,4,84,2,2022-3545
757977039070469675,Work Of Art!-3 Bedroom Elegant Townhome-Columbus,158439641,GH Hospitality,,Near South,39.95151,-82.98645,Entire home/apt,233,2,2,2022-12-09,1.87,75,359,2,2021-3574
758708638789996373,Charming 2 Bedroom Retreat with Private Backyard,6060474,Brooke,,Clintonville,40.0240822,-82.99814599999999,Entire home/apt,103,1,0,,,1,327,0,2022-3587
758882671083839347,Pet-Friendly 4Bd/2B Townhome near Downtown & OTE,54769683,Annie,,Near East,39.96953,-82.97517,Entire home/apt,114,2,0,,,14,180,0,2022-1759
759290778372711140,Lovely 1 bedroom rental in Italian Village,334050120,Stephanie,,Near North/University,39.97868,-83.00425,Entire home/apt,164,1,3,2022-12-18,2.31,1,83,3,2021-2359
759314098453174195,As close as a home,487534408,Prem,,Far East,39.9954589,-82.781838,Private room,55,1,0,,,1,329,0,2022-2025
759414393208565125,Vintage Vineyard - Beautiful 3 bedroom near OSU,286980818,Cheryl,,Near North/University,40.01112,-82.99954,Entire home/apt,80,30,0,,,2,361,0,
759530663691679611,Erb House,487591358,Emily,,Near North/University,39.9854401,-83.00023449999999,Entire home/apt,240,1,0,,,1,176,0,2022-3496
760024683304283110,Tranquil Townhome,315729151,Rachel,,Near North/University,39.98305,-83.0195,Entire home/apt,115,30,0,,,5,314,0,
761159547529372803,The Goodale Park Modern | 2-Car Garage,52174539,Kate & Nat,,Near North/University,39.97519,-83.01072,Entire home/apt,201,2,1,2022-12-15,1,27,175,1,2019-1802
761623703630275090,Luxury Modern Centrally Located Columbus Townhome,487994690,Kim,,Near North/University,39.97782,-82.99763,Entire home/apt,80,1,4,2022-12-24,4,1,15,4,2022-3514
761649332170885119,The Parsonage,6040852,Garett,,Clintonville,40.02285,-83.0034,Entire home/apt,380,2,0,,,1,253,0,2022-3075
762289787978597219,Urban Hideaway- Columbus Chic Retreat,149742461,Corey,,Near East,39.96293,-82.96807,Entire home/apt,81,1,2,2022-12-18,2,16,62,2,2022-2296
762579426508641864,Mr. Brightside Getaway,54100341,Fin,,Near North/University,40.01343,-82.99944,Entire home/apt,38,30,0,,,9,291,0,
762611142663191626,Martians landing,54100341,Fin,,Near North/University,40.01201,-83.00131,Entire home/apt,40,30,0,,,9,305,0,
762899918353366603,Brand New 3 BR/2BA 5 minutes to Downtown Columbus,26958698,Benjamin,,Near East,39.95665,-82.96886,Entire home/apt,142,1,1,2022-11-26,0.91,115,365,1,2022-2905
762909633143593622,Frontdesk | 1 BR Apt by the Columbus Museum of Art,253828606,Frontdesk,,Downtown,39.95940299999999,-82.98545,Entire home/apt,90,1,4,2022-12-23,3.33,23,343,4,2022-2933
762959684774840237,Frontdesk | 1 BR Apt by the Kelton House Museum,253828606,Frontdesk,,Downtown,39.95940299999999,-82.98545,Entire home/apt,88,1,2,2022-11-27,1.67,23,353,2,2022-2940
762998140900396096,Frontdesk | 1 BR Apt near Lower Dot Com Field,253828606,Frontdesk,,Downtown,39.95940299999999,-82.98545,Entire home/apt,85,1,1,2022-12-03,1,23,340,1,2022-2941
763014299901354950,Frontdesk | 1 BR Apt near Nationwide Arena,253828606,Frontdesk,,Downtown,39.95940299999999,-82.98545,Entire home/apt,94,1,2,2022-12-21,1.82,23,340,2,2022-2943
763039948257911475,Modern Luxury House 5 Bed 3 Bath,437855893,Zoey,,Near East,39.96935,-82.97381,Entire home/apt,314,1,0,,,8,351,0,2022-1464
763050870368804518,Lovely Luxury 2 Bed Central Town,437855893,Zoey,,North Linden,40.01429,-82.96725,Entire home/apt,120,1,1,2022-12-04,1,8,364,1,2021-1062
763628153849759310,Wall of Windows - Luxe Flat,31798233,Sam,,Near North/University,39.98027,-82.99923,Entire home/apt,80,30,0,,,5,351,0,2023-1439
763757080812924314,3 Bedroom Loft Near OSU,453019578,Bryden,,Near North/University,39.99142,-83.00467,Entire home/apt,168,2,1,2022-11-27,0.94,28,120,1,2022-1991
763768525894711885,Spacious 3 Bedroom bear OSU and High St.,453019578,Bryden,,Near North/University,39.99044,-83.00321,Entire home/apt,157,2,1,2022-11-27,0.94,28,115,1,2022-1991
764636512132139685,The Art House,122743306,Greg,,Near North/University,39.9899862,-83.0074671,Entire home/apt,569,2,0,,,1,178,0,2022-4000
764685026271244421,Gated Parking | Short North | Updated 1 Bedroom,199815884,Andrea,,Near North/University,39.98801,-83.00443,Entire home/apt,107,1,1,2022-12-19,1,1,44,1,2022-3516
765197966170244847,Bryden Manor - Spacious Home - Private Garage,345450411,Evan,,Near East,39.9607251,-82.9714517,Entire home/apt,174,2,5,2022-12-27,5,14,60,5,2022-2764
